market	name	type	pStart	qStart	mStart	p	q	m	qprat	release.year	numPoints	TTP	peak	RMSEreal	rmsePeak	qualityFit	T1	T2	TTdif	lifeTime
ARCHIVE	7z compressed archive file	VERSION	0.65	1	0.01	0.000477132780124179	0.649235363846788	1.57001065444999	1360.70165558069	1999	5	11.1060750814712	0.255201299027335	0.0660138477457284	0.258673635272749	BAD	9.07908944742223	13.1330607155201	4.05397126809787	18.1952181331141
ARCHIVE	Gnu Zipped Archive File	VERSION	1	0.55	1000	0.0344976450691478	0	19945.7144795605	0	1992	15	-Inf	Inf	168.278898646427	0	BAD	-Inf	-Inf	NA	133.492305830076
ARCHIVE	WinRAR Compressed Archive	VERSION	0.6	0.95	100	0.00439142855990938	0.361334754944329	463.823807892687	82.281824698928	1993	14	12.0586122628225	42.9235286851384	17.5428421137176	0.408699905415547	GOOD	8.45767266285659	15.6595518627884	7.20187919993184	24.6834952695148
ARCHIVE	Consolidated Unix File Archive (TAR)	VERSION	0.3	0.4	1	9.83019869384314e-07	0.945782673843064	128.178893549124	962119.59015175	1988	15	14.5666442172463	30.3074071690162	4.99592190851304	0.164841613822395	GOOD	13.1741926905483	15.9590957439444	2.78490305339602	19.4358034503782
ARCHIVE	Gzipped Tar File	VERSION	0.9	0.95	0.01	0.0163760013846365	0.153206364091841	0.791677626705531	9.35554171579239	1990	5	13.1851496369858	0.0371512090590784	0.0166558845449081	0.44832685037038	BAD	5.41926022257324	20.9510390513984	15.5317788288251	40.9399407442971
ARCHIVE	ZIP compression	VERSION	0.85	0.9	1000	0.00577723539523103	0.245148111545104	9801.08349900481	42.433464239222	1989	15	14.9364635640393	629.32446068641	124.992049349945	0.198613048050944	EXCELLENT	9.68805835913203	20.1848687689466	10.4968104098146	33.3820417009838
AUDIO	Musical Instrument Digital Interface (MIDI) Sequence Data	FORMAT	1	0.4	30000	0.00290303580775052	0.2963283418603	5040.06381185023	102.075331302894	1983	15	15.4586431373949	380.730015937427	81.1709386265678	0.213198159400987	GOOD	11.0575074437118	19.859778831078	8.80227138736614	30.8812209160077
AUDIO	MPEG-1 and MPEG-2 Layer II Audio Encoding	FORMAT	0.75	0.15	100	0.000777368094222933	0.44770583135933	3968.49206974019	575.925143682238	1993	15	14.1721645339443	445.723089030745	141.360482699316	0.317148665120116	GOOD	11.2356935612759	17.1086355066127	5.87294194533682	24.4443553822855
AUDIO	Ogg File Format	FORMAT	0.85	0.05	10000	0.000426488465369028	0.680857025372009	26.0110331777754	1596.4254151232	1993	8	10.8259221653219	4.43299710910533	1.19915070256309	0.270505636040241	GOOD	8.89286805469628	12.7589762759475	3.86610822125126	17.5863916259553
AUDIO	RealAudio	FORMAT	0.5	0.35	10	0.00773130321017131	0.207108331491441	7690.53302956478	26.7882821125123	1995	15	15.3042736358249	428.477174028634	198.877745187837	0.464150151379001	GOOD	9.1743158244838	21.434231447166	12.2599156226822	36.9102499270916
AUDIO	WAVE. Waveform Audio File Format	FORMAT	0.3	0.8	10000	0.197092285016287	0	6730.30772935086	0	1991	15	-Inf	Inf	45.8304823016639	0	GOOD	-Inf	-Inf	NA	23.3655527693919
AUDIO	WMA (Windows Media Audio) File Format	FORMAT	0.6	0.5	10000	0.556510607782225	0	300.927227886398	0	2004	7	-Inf	Inf	19.4053983549787	0	GOOD	-Inf	-Inf	NA	8.27508069314323
AUDIO	MPEG-4 Part 14 Advanced Audio Coding (AAC) ??	FORMAT	0.1	0.4	0.01	0.00295729224168405	0.531632349297623	1.16493171973665	179.769973966077	1997	5	9.71152021631274	0.156556159407258	0.0399633445611339	0.255265233335056	GOOD	7.24802710946401	12.1750133231615	4.92698621369746	18.3362990699423
AUDIO	Audio Interchange File Format (AIFF)	FORMAT	0.4	0.45	10	0.0154842420503944	0.261439181541607	563.130414587451	16.8842091650813	1988	15	10.2063551704761	41.2950220018434	16.7777060001765	0.406288825791823	GOOD	5.45067982946515	14.9620305114871	9.51135068202193	27.0438962612985
BMPS	Bitmap Image File version 2.0	VERSION	0.85	0.15	0.1	2.88720563231689e-07	1.63722278414928	75.8857274708941	5670613.7097532	1987	11	9.49828289473087	31.0604714566586	9.53807939881586	0.307080960188424	GOOD	8.6938977631334	10.3026680263283	1.60877026319493	12.311076361087
BMPS	Bitmap Image File version 3.0	VERSION	0.95	0.5	100	0.0132389921750816	0.0222817125849031	70613.4968580401	1.68303691778304	1990	15	14.6562365298148	999.63696537848	9.3572307129136	0.00936062894529995	GOOD	-22.4195452099782	51.7320182696077	74.1515634795859	157.432673563559
BMPS	Bitmap Image File version 5.0	VERSION	0.05	0.05	30000	3.36982001219332e-06	0.232099043528476	7244.87018685914	68875.7983182043	1998	6	47.9963132502583	420.39406725738	0.144073244958467	0.000342709986128943	BAD	42.3222753205127	53.670351180004	11.3480758594912	67.8374886966173
DISTILLER	Acrobat Distiller 1	TOOL	0.4	0.7	0.1	0.0153543794092006	0.687204895062055	0.373790824655256	44.7562794136941	1993	10	5.4105495366653	0.0671194429547896	0.00450389424924559	0.0671026762286946	GOOD	3.53603453874437	7.28506453458623	3.74902999584186	11.9968514109766
DISTILLER	Acrobat Distiller 2	TOOL	0.8	0.25	0.1	0.153679429497183	1.75043063813841	14.4554465143399	11.390142739764	1995	15	1.27763008596784	7.48532587419768	1.45514372200631	0.194399515326683	EXCELLENT	0.585990500993569	1.96926967094211	1.38327916994854	3.74036749407485
